题目	一血获得者	组别	提交时间
→签到←	zz	北京大学	2021/5/16 12:02
主的替代品	debugger	北京大学	2021/5/16 12:05
小北问答 1202	Jesse	北京大学	2021/5/16 15:24
小北问答 1202 / 答对5道	UltraSB	北京大学	2021/5/16 13:16
小北问答 1202 / 全部答对	Jesse	北京大学	2021/5/16 15:24
与佛论禅网大会员	DF4D0155	北京大学	2021/5/18 19:13
与佛论禅网大会员 / Flag 1	ker	北京大学	2021/5/18 18:02
与佛论禅网大会员 / Flag 2	DF4D0155	北京大学	2021/5/18 19:13
2038 年的银行	debugger	北京大学	2021/5/17 18:15
人类行为研究实验	ddadaal	北京大学	2021/5/16 13:30
人类行为研究实验 / 完成实验	zz	北京大学	2021/5/16 12:12
人类行为研究实验 / 上传成绩	ddadaal	北京大学	2021/5/16 13:30
人生苦短	zz	北京大学	2021/5/18 18:55
千年讲堂的方形轮子	北大韩商言	其他选手	2021/5/16 16:34
千年讲堂的方形轮子 / 攻破You酱的系统	北大韩商言	其他选手	2021/5/16 14:34
千年讲堂的方形轮子 / 攻破“修复”后的系统	北大韩商言	其他选手	2021/5/16 16:34
皮浪的解码器	lrh2000	北京大学	2021/5/16 18:28
弗拉梅尔的宝石商店	sAy');DROP TABL p;--	北京大学	2021/5/18 21:13
未来的机器	sAy');DROP TABL p;--	北京大学	2021/5/16 17:51
庄子的回文	littleTT	其他选手	2021/5/17 22:15
无法预料的问答	qqqrq	北京大学	2021/5/17 18:44
安全的密钥交换	A-SOUL我们鸟巢见！	北京大学	2021/5/18 19:49
安全的密钥交换 / 安全的密钥	A-SOUL我们鸟巢见！	北京大学	2021/5/18 19:26
安全的密钥交换 / 安全的交换	A-SOUL我们鸟巢见！	北京大学	2021/5/18 19:49
计算概论B	littleTT	其他选手	2021/5/17 18:51
巴别压缩包	Xzonn	北京大学	2021/5/16 20:58
←签退→	lrh2000	北京大学	2021/5/18 14:32
