内容,时间
"<b>【闭幕式暨颁奖典礼举行通知】</b><br/>
首先恭喜大家完成比赛，使首届北京大学信息安全综合能力竞赛比赛圆满成功。竞赛闭幕式暨颁奖典礼将于2021年5月29日（周六）14:00于北京大学图书馆北配楼（科学报告厅）举行，欢迎各位选手届时出席。
<br/>
本次闭幕式预计持续1小时，包括比赛数据展示、领导发言、奖品与纪念品分发等环节。颁奖环节请所有获奖选手务必出席，奖励由获奖学生本人持学生卡领取，为鼓励未获奖的选手积极参与闭幕式，竞赛组委会也为大家精心准备了纪念品一份。
<br/>
注：如有获奖选手因特殊原因无法到场，可请其他同学代为领奖，需提前联系组委会，登记代领者个人信息，并在领奖时持获奖者学生卡原件领取。",2021/5/27 10:06
"<b>【官方Writeup已发布】</b><br>
包含出题人和优秀选手Writeup，<b><a href=""https://geekgame.pku.edu.cn/static/writeups"" target=""_blank"">→立即学习一个←</a></b><br>
比赛平台和题目后端会持续运行到至少期末，题目源码也将在GitHub公开",2021/5/26 0:27
"请比赛排名<b>前35名</b>的选手<b>在周一22:00前</b>提交Markdown或PDF格式的Writeup（解题报告），简要说明每题的思路，可附上脚本和截图等关联材料。Writeup的详细程度以能表明自己独立完成了题目为宜。<b>请在Writeup的开头写上自己的平台Token。</b><br>
请将Writeup和所有关联材料打成一个压缩包，用自己的昵称命名，上传到 <a href=""https://disk.pku.edu.cn/link/B58093BC4B55B13CFE3EB5B1566DFC66"" target=""_blank"" rel=""noopener"">https://disk.pku.edu.cn/link/B58093BC4B55B13CFE3EB5B1566DFC66</a><br>
其他选手如果觉得自己某题思路新颖，可以自愿提交相关的Writeup。我们会公开部分优秀Writeup用于学习交流。如果你希望/不希望自己的Writeup被公开，请在Writeup开头注明。如无注明，组委会将自行决定。<br>
【欢迎填写<a href=""https://www.wjx.cn/vj/mR6SKXz.aspx"" target=""_blank"" rel=""noopener"">比赛反馈问卷</a>】",2021/5/23 11:55
"<b>【问卷调查】</b><br>
本届比赛的组委会邀请所有选手填写一份问卷，以便我们在举办后续赛事时进行改进。该问卷自愿填写，和成绩不挂钩。<br>
<b><a href=""https://www.wjx.cn/vj/mR6SKXz.aspx"" target=""_blank"" rel=""noopener"">填写问卷</a></b>",2021/5/22 20:07
"<b>【最后4道题目已放出】</b><br>
分别是 “与佛论禅网大会员”（Misc）、“人生苦短”（Web）、“弗拉梅尔的宝石商店”（Binary）、“安全的密钥交换”（Algorithm）。后续将不再增加题目。<br>
另外提醒选手注意保留做题的中间结果，赛后会要求排名靠前的选手提交解题报告（Writeup）。",2021/5/18 18:00
"<b>【新放出了4道题目】</b><br>
分别是 “2038 年的银行”（Misc）、“庄子的回文”（Binary）、“无法预料的问答”（Algorithm）、“计算概论B”（Algorithm）。根据赛程安排，周二 18:00 将会放出最后一批题目。",2021/5/17 18:01
"<b>“小北问答 1202” 更新</b><br>
题目 #8 有歧义，因为有些顶级域名属于 “not assigned” 状态，它们可以理解为 “可用”，也可理解为 “不可用”，谢谢来自 USTC 的选手指正。两种答案都算正确，已有的提交均已重判，重新访问即可查看更正后的结果。<br>
另外该题增加了补充说明：“此题考查的是收集和运用信息的能力，解题所需的所有信息都可以在网上公开找到，不需要选手具有特定生活经验。”",2021/5/17 0:09
"<b>【关于Flag格式】</b><br>
所有题目的 Flag 都以 “flag{” 开始、“}” 结束，Flag 是大小写敏感和空白符敏感的（即大小写和空格等与答案不一致都会导致flag错误），所有 Flag 都是可打印的纯 ASCII 字符",2021/5/16 12:32
"<b>【关于赛程的补充说明】</b><br>
考虑到同学们的时间安排，竞赛将分3批放出题目，分别是比赛开始时（周日12:00）、周一18:00和周二18:00。比赛开始时放出的题目数量约占总数的一半。",2021/5/15 20:24
"<b>【请选手检查自己的用户组是否正确】</b>
<br>这是北京大学首次举办此类赛事，出于谨慎考虑，本届比赛的报名范围是 “所有具有北京大学统一身份认证平台帐号的选手” 和 “少量特邀选手”，评奖范围仅限 “有北京大学学籍的在校本科生和研究生”。此前有极少数选手被分配到了错误的用户组，现已修正相关问题。请各位点击右上角 个人昵称→“修改信息” 确认自己的身份，如有红色提示说明你不在评奖范围内，如无红色提示则你可以正常参与评奖。若仍有错误情况可以在选手QQ群群向管理员 @Alice_space 反馈，告知自己的学号，我们将进行复查。",2021/5/14 19:43
